SensorName,LastCommunicationDate,X_mms,Y_mms,Z_mms,X_hz,Y_hz,Z_hz,Fault
Sensor-300578,08-08-2017 08:14,20,20.4,16.7,14,12,17,0
Sensor-300577,08-08-2017 08:17,25,24.3,10.8,15,11,19,0
Sensor-300575,08-08-2017 08:18,9.6,2.5,3.2,11,10,13,0
Sensor-300579,08-08-2017 08:18,15.1,2.1,1.5,12,9,12,0
Sensor-300578,08-08-2017 08:24,13.1,12.2,0.1,10,13,22,0
Sensor-300577,08-08-2017 08:27,19.5,22.9,14.5,13,9,10,1
Sensor-300579,08-08-2017 08:28,25.5,6.2,4.8,10,15,9,0
Sensor-300575,08-08-2017 08:29,1,0.7,0.8,10,13,13,1
Sensor-300578,08-08-2017 08:34,10.7,19.7,24.3,9,15,10,1
Sensor-300577,08-08-2017 08:37,16.1,12.7,21.6,13,13,12,0
Sensor-300579,08-08-2017 08:38,9.1,5.2,3.4,12,14,16,1
Sensor-300575,08-08-2017 08:39,5.8,1.3,1.8,10,11,11,0
Sensor-300578,08-08-2017 08:45,13.3,7.7,22,10,24,11,1
Sensor-300577,08-08-2017 08:47,22.3,23.1,7.5,20,12,21,0
Sensor-300579,08-08-2017 08:48,4.8,4,2.9,10,14,13,0
Sensor-300575,08-08-2017 08:49,17.7,3.3,3,12,12,12,0
Sensor-300578,08-08-2017 08:55,19.1,12.2,17,11,13,13,0
Sensor-300577,08-08-2017 08:57,10.4,10.5,20.4,13,11,12,1
Sensor-300579,08-08-2017 08:58,22.1,3.3,2.8,12,15,17,1
Sensor-300575,08-08-2017 08:59,2.6,1.9,2.1,11,14,12,0
Sensor-300578,08-08-2017 09:05,20.5,16.3,9.1,10,15,16,0
Sensor-300577,08-08-2017 09:07,7,19.3,5.9,11,11,20,1
Sensor-300579,08-08-2017 09:08,6.4,2.9,2.2,11,14,13,0
Sensor-300575,08-08-2017 09:09,2.5,1.5,2.1,10,14,13,0
Sensor-300578,08-08-2017 09:15,17.8,20.5,23.9,10,15,18,0
Sensor-300577,08-08-2017 09:17,13.3,7.7,0.8,13,13,11,0
Sensor-300579,08-08-2017 09:18,15.8,2.5,2.5,9,11,21,0
Sensor-300575,08-08-2017 09:19,1.6,0.7,0.8,11,12,13,0
Sensor-300578,08-08-2017 09:25,4.4,10,22,12,11,13,1
Sensor-300577,08-08-2017 09:27,24.1,13.4,13.8,11,14,10,0
Sensor-300579,08-08-2017 09:28,20.1,8.5,6.2,11,12,13,0
Sensor-300575,08-08-2017 09:29,2.3,1,1.2,11,13,11,0
Sensor-300578,08-08-2017 09:35,23.9,16,17.9,12,16,12,0
Sensor-300577,08-08-2017 09:38,13,16.8,15.4,9,23,9,0
